PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
Nigel Hayes-Davis,PHX,7.2,1.3,1.2,0.3,27,4.87,0.75
Nikola Jokić,DEN,35.1,27.8,12.9,10.9,64,65.0,10.0
Nikola Jović,MIA,17.2,7.3,3.3,2.2,47,18.4,2.83
Nikola Vučević,BOS,28.6,15.1,8.5,3.3,63,35.43,5.45
Nique Clifford,SAC,24.7,8.2,3.7,2.3,73,22.02,3.39
Noah Clowney,BKN,27.0,12.3,4.1,1.6,66,26.08,4.01
Noah Penda,ORL,12.9,3.9,3.2,1.2,58,12.129999999999999,1.87
Nolan Traore,BKN,22.3,8.8,1.7,3.9,55,22.700000000000003,3.49
Norman Powell,MIA,29.7,21.7,3.5,2.5,57,37.16,5.72
OG Anunoby,NYK,33.5,16.9,5.2,2.2,66,34.41,5.29
Obi Toppin,IND,17.6,11.4,4.4,2.3,22,23.650000000000002,3.64
Ochai Agbaji,BKN,15.7,5.1,2.3,0.8,62,12.850000000000001,1.98
Olivier-Maxence Prosper,MEM,18.6,10.0,3.5,1.0,53,19.880000000000003,3.06
Onyeka Okongwu,ATL,31.1,15.4,7.6,3.2,73,35.61,5.48
Oscar Tshiebwe,UTA,15.5,6.6,5.6,1.0,25,17.229999999999997,2.65
Oso Ighodaro,PHX,22.2,6.5,5.0,2.2,80,20.46,3.15
Ousmane Dieng,MIL,18.6,7.4,3.0,2.1,55,18.53,2.85
P.J. Washington,DAL,31.0,14.2,7.0,1.8,56,31.799999999999997,4.89
Pacôme Dadiet,NYK,3.9,1.3,0.8,0.4,27,3.71,0.57
Paolo Banchero,ORL,34.8,22.3,8.4,5.1,70,47.11,7.25
Pascal Siakam,IND,33.2,24.0,6.6,3.8,62,44.94,6.91
Pat Connaughton,CHA,7.1,2.7,1.5,0.4,41,6.63,1.02
Pat Spencer,GSW,18.7,7.3,2.4,3.5,64,20.08,3.09
Patrick Williams,CHI,20.2,6.9,3.0,1.4,70,17.46,2.69
Paul George,PHI,30.9,17.4,5.3,3.7,35,36.459999999999994,5.61
Paul Reed,DET,13.8,7.5,4.5,1.2,63,17.04,2.62
Payton Pritchard,BOS,32.4,17.0,4.0,5.1,78,37.56999999999999,5.78
Pelle Larsson,MIA,26.4,11.2,3.5,3.3,69,26.869999999999997,4.13
Pete Nance,MIL,15.7,5.4,2.7,1.0,47,13.77,2.12
Peyton Watson,DEN,29.6,14.6,4.9,2.1,54,30.550000000000004,4.7
Precious Achiuwa,SAC,23.7,9.9,6.7,1.3,71,24.32,3.74
Quentin Grimes,PHI,29.6,13.5,3.7,3.3,73,30.29,4.66
Quenton Jackson,IND,17.9,8.7,2.3,2.7,47,19.96,3.07
Quinten Post,GSW,17.3,7.7,4.0,1.4,67,18.19,2.8
RJ Barrett,TOR,30.3,19.1,5.3,3.3,56,37.379999999999995,5.75
Rasheer Fleming,PHX,11.5,4.1,2.2,0.2,53,9.61,1.48
Rayan Rupert,MEM,16.0,4.8,2.6,1.0,62,13.18,2.03
Reed Sheppard,HOU,26.3,13.5,2.9,3.4,80,28.810000000000002,4.43
Rob Dillingham,CHI,14.5,5.9,1.9,2.2,63,15.07,2.32
Robert Williams III,POR,17.0,6.6,6.9,1.0,57,18.72,2.88
Ron Harper Jr.,BOS,10.0,3.3,1.5,0.6,27,8.399999999999999,1.29
Ronald Holland II,DET,19.9,8.2,4.0,1.2,76,19.169999999999998,2.95
Royce O'Neale,PHX,28.5,9.8,4.7,2.7,77,26.160000000000004,4.02
Rudy Gobert,MIN,31.3,10.9,11.5,1.7,76,32.04,4.93
Rui Hachimura,LAL,28.3,11.3,3.2,0.8,66,23.55,3.62
Russell Westbrook,SAC,28.9,15.2,5.4,6.7,64,38.24,5.88
Ryan Dunn,PHX,19.1,5.7,4.2,1.4,68,16.89,2.6
Ryan Kalkbrenner,CHA,21.4,7.6,5.5,0.8,67,19.62,3.02
Ryan Nembhard,DAL,19.0,6.4,2.1,4.9,58,21.13,3.25
Ryan Rollins,MIL,32.1,17.3,4.6,5.6,74,39.01,6.0
Saddiq Bey,NOP,31.2,17.7,5.6,2.5,72,35.29,5.43
Sam Hauser,BOS,24.8,9.0,3.8,1.4,77,21.58,3.32
Sam Merrill,CLE,26.5,12.8,2.6,2.4,52,26.429999999999996,4.07
